 ,,,,,,,
,,,,,,,
Benchmark,Workload,C++ (ms),Rust(ms),C++ Average Time(s),Rust Average Time(s),Standard Deviation (C++),Standard Deviation (Rust)
Summation Loop,10 Billion Iterations,6132.016,6053.4618,6.132016,6.0534618,0.02924316211,0.03653571546
Summation Loop,1 Billion Iterations,574.626,721.3036,0.574626,0.7213036,0.00873152418,0.0009462385006
Summation Loop,100 Million Iterations,61.9484,77.203,0.0619484,0.077203,0.008478735831,0.001177799431
Summation Loop,10 Million Iterations,8.7266,10.7136,0.0087266,0.0107136,0.005401146017,0.002342038065
,,,,,,,
Branch Loop,10 Billion Iterations,8471.944,7184.7002,8.471944,7.1847002,0.0414508755,0.05107210465
Branch Loop,1 Billion Iterations,788.3884,723.5664,0.7883884,0.7235664,0.004654073517,0.006386972741
Branch Loop,100 Million Iterations,83.3264,79.0566,0.0833264,0.0790566,0.003317918971,0.003105018969
Branch Loop,10 Million Iterations,9.8712,10.1862,0.0098712,0.0101862,0.001591220349,0.002667399333
,,,,,,,
Fibonacci Recursion,"11,349,031,170 Recursive Calls",6026.944,2579.4054,6.026944,2.5794054,0.02259273069,0.03817481894
Fibonacci Recursion,"701,408,733 Recursive Calls",1424.206,1815.511,1.424206,1.815511,0.0141378156,2.675709315
Fibonacci Recursion,"102,334,155 Recursive Calls",207.6682,94.0754,0.2076682,0.0940754,0.002773373613,0.005334681743
Fibonacci Recursion,"24,157,817 Recursive Calls",53.474,25.9276,0.053474,0.0259276,0.002568216307,0.001966866874
,,,,,,,
File Read,File Size - 1 GB,725.1716,661.3582,0.7251716,0.6613582,0.005567793171,0.01169548942
File Read,File Size - 500 MB,354.6236,338.0486,0.3546236,0.3380486,0.005358901734,0.01197374082
File Read,File Size - 100 MB,118.1262,111.6222,0.1181262,0.1116222,0.007050117708,0.006481233964
File Read,File Size - 10 MB,13.014,30.9284,0.013014,0.0309284,0.00455040207,0.04639490425
,,,,,,,
File Write,File Size - 1 GB,2920.94,2974.75,2.92094,2.97475,0.2089790656,0.3333150076
File Write,File Size - 500 MB,1516.154,1231.7176,1.516154,1.2317176,0.1773210789,0.1503157668
File Write,File Size - 100 MB,244.3956,212.1498,0.2443956,0.2121498,0.03577952424,0.01376779417
File Write,File Size - 10 MB,35.3512,33.8506,0.0353512,0.0338506,0.006668947908,0.0054428152
,,,,,,,
String Parsing,1 Billion Characters,963.4138,431.832,0.9634138,0.431832,0.04387092563,0.02795005759
String Parsing,500 Million Characters,486.2794,207.7234,0.4862794,0.2077234,0.03315554211,0.004002933399
String Parsing,100 Million Characters,90.4844,43.7466,0.0904844,0.0437466,0.008190984513,0.001467832858
String Parsing,10 Million Characters,8.8612,6.1294,0.0088612,0.0061294,0.002723227993,0.001636468698
,,,,,,,
String Concatenation and Substring Search,Size - 500 MB,1485.162,349.1338,1.485162,0.3491338,0.01185751112,0.02339085023
String Concatenation and Substring Search,Size - 100 MB,291.5348,71.2492,0.2915348,0.0712492,0.01961188639,0.001923641131
String Concatenation and Substring Search,Size - 50 MB,148.338,36.8618,0.148338,0.0368618,0.001912975823,0.003558732246
String Concatenation and Substring Search,Size - 10 MB,31.6198,11.3398,0.0316198,0.0113398,0.002080639974,0.001319171975
,,,,,,,
Dynamic Allocation and Free,100 Million Allocations,4051.346,2941.9428,4.051346,2.9419428,0.02058055709,0.03101470676
Dynamic Allocation and Free,50 Million Allocations,2022.668,1479.9822,2.022668,1.4799822,0.005305447201,0.01746681685
Dynamic Allocation and Free,10 Million Allocations,407.8828,330.6876,0.4078828,0.3306876,0.006095138038,0.04901292094
Dynamic Allocation and Free,1 Million Allocations,42.4414,37.7382,0.0424414,0.0377382,0.00265833967,0.004580911449
,,,,,,,
Vector Insertion and Deletion,1 Billion Insertions and Deletions,1904.024,1667.7176,1.904024,1.6677176,0.02163448243,0.02689757378
Vector Insertion and Deletion,500 Million Insertions and Deletions,955.4698,850.15984,0.9554698,0.85015984,0.01913265006,0.0178697374
Vector Insertion and Deletion,100 Million Insertions and Deletions,198.8292,184.7576,0.1988292,0.1847576,0.005995063653,0.0134525239
Vector Insertion and Deletion,10 Million Insertions and Deletions,20.39296,21.3502,0.02039296,0.0213502,0.00694441251,0.004169984415
