,,,,,,,
,,,,,,,
Language,Benchmark,Workload Size,Input,Run,Time(s),Average Time(s),Standard Deviation(s)
C++,Summation Loop,10 Billion Iterations,,1,6.15982,6.132016,0.02924316211
C++,Summation Loop,10 Billion Iterations,,2,6.09859,,
C++,Summation Loop,10 Billion Iterations,,3,6.14348,,
C++,Summation Loop,10 Billion Iterations,,4,6.10281,,
C++,Summation Loop,10 Billion Iterations,,5,6.15538,,
Rust,Summation Loop,10 Billion Iterations,,1,6.088973,6.0534618,0.03653571546
Rust,Summation Loop,10 Billion Iterations,,2,6.026756,,
Rust,Summation Loop,10 Billion Iterations,,3,6.025828,,
Rust,Summation Loop,10 Billion Iterations,,4,6.097692,,
Rust,Summation Loop,10 Billion Iterations,,5,6.02806,,
C++,Summation Loop,1 Billion Iterations,,1,0.572519,0.574626,0.00873152418
C++,Summation Loop,1 Billion Iterations,,2,0.569549,,
C++,Summation Loop,1 Billion Iterations,,3,0.589422,,
C++,Summation Loop,1 Billion Iterations,,4,0.574484,,
C++,Summation Loop,1 Billion Iterations,,5,0.567156,,
Rust,Summation Loop,1 Billion Iterations,,1,0.722482,0.7213036,0.0009462385006
Rust,Summation Loop,1 Billion Iterations,,2,0.720895,,
Rust,Summation Loop,1 Billion Iterations,,3,0.72144,,
Rust,Summation Loop,1 Billion Iterations,,4,0.721744,,
Rust,Summation Loop,1 Billion Iterations,,5,0.719957,,
C++,Summation Loop,100 Million Iterations,,1,0.060233,0.0619484,0.008478735831
C++,Summation Loop,100 Million Iterations,,2,0.055987,,
C++,Summation Loop,100 Million Iterations,,3,0.052654,,
C++,Summation Loop,100 Million Iterations,,4,0.07349,,
C++,Summation Loop,100 Million Iterations,,5,0.067378,,
Rust,Summation Loop,100 Million Iterations,,1,0.076503,0.077203,0.001177799431
Rust,Summation Loop,100 Million Iterations,,2,0.07682,,
Rust,Summation Loop,100 Million Iterations,,3,0.076296,,
Rust,Summation Loop,100 Million Iterations,,4,0.079225,,
Rust,Summation Loop,100 Million Iterations,,5,0.077171,,
C++,Summation Loop,10 Million Iterations,,1,0.007109,0.0087266,0.005401146017
C++,Summation Loop,10 Million Iterations,,2,0.008356,,
C++,Summation Loop,10 Million Iterations,,3,0.004028,,
C++,Summation Loop,10 Million Iterations,,4,0.017965,,
C++,Summation Loop,10 Million Iterations,,5,0.006175,,
Rust,Summation Loop,10 Million Iterations,,1,0.013204,0.0107136,0.002342038065
Rust,Summation Loop,10 Million Iterations,,2,0.01309,,
Rust,Summation Loop,10 Million Iterations,,3,0.010252,,
Rust,Summation Loop,10 Million Iterations,,4,0.008807,,
Rust,Summation Loop,10 Million Iterations,,5,0.008215,,
C++,Branch Loop,10 Billion Iterations,,1,8.53785,8.471944,0.0414508755
C++,Branch Loop,10 Billion Iterations,,2,8.44355,,
C++,Branch Loop,10 Billion Iterations,,3,8.44275,,
C++,Branch Loop,10 Billion Iterations,,4,8.44734,,
C++,Branch Loop,10 Billion Iterations,,5,8.48823,,
Rust,Branch Loop,10 Billion Iterations,,1,7.130999,7.1847002,0.05107210465
Rust,Branch Loop,10 Billion Iterations,,2,7.212318,,
Rust,Branch Loop,10 Billion Iterations,,3,7.211131,,
Rust,Branch Loop,10 Billion Iterations,,4,7.2397,,
Rust,Branch Loop,10 Billion Iterations,,5,7.129353,,
C++,Branch Loop,1 Billion Iterations,,1,0.793754,0.7883884,0.004654073517
C++,Branch Loop,1 Billion Iterations,,2,0.792032,,
C++,Branch Loop,1 Billion Iterations,,3,0.782998,,
C++,Branch Loop,1 Billion Iterations,,4,0.784461,,
C++,Branch Loop,1 Billion Iterations,,5,0.788697,,
Rust,Branch Loop,1 Billion Iterations,,1,0.71993,0.7235664,0.006386972741
Rust,Branch Loop,1 Billion Iterations,,2,0.729894,,
Rust,Branch Loop,1 Billion Iterations,,3,0.730642,,
Rust,Branch Loop,1 Billion Iterations,,4,0.716218,,
Rust,Branch Loop,1 Billion Iterations,,5,0.721148,,
C++,Branch Loop,100 Million Iterations,,1,0.081326,0.0833264,0.003317918971
C++,Branch Loop,100 Million Iterations,,2,0.080588,,
C++,Branch Loop,100 Million Iterations,,3,0.088992,,
C++,Branch Loop,100 Million Iterations,,4,0.082811,,
C++,Branch Loop,100 Million Iterations,,5,0.082915,,
Rust,Branch Loop,100 Million Iterations,,1,0.081963,0.0790566,0.003105018969
Rust,Branch Loop,100 Million Iterations,,2,0.074271,,
Rust,Branch Loop,100 Million Iterations,,3,0.081067,,
Rust,Branch Loop,100 Million Iterations,,4,0.077733,,
Rust,Branch Loop,100 Million Iterations,,5,0.080249,,
C++,Branch Loop,10 Million Iterations,,1,0.009713,0.0098712,0.001591220349
C++,Branch Loop,10 Million Iterations,,2,0.009519,,
C++,Branch Loop,10 Million Iterations,,3,0.008077,,
C++,Branch Loop,10 Million Iterations,,4,0.012456,,
C++,Branch Loop,10 Million Iterations,,5,0.009591,,
Rust,Branch Loop,10 Million Iterations,,1,0.007182,0.0101862,0.002667399333
Rust,Branch Loop,10 Million Iterations,,2,0.007618,,
Rust,Branch Loop,10 Million Iterations,,3,0.010884,,
Rust,Branch Loop,10 Million Iterations,,4,0.012138,,
Rust,Branch Loop,10 Million Iterations,,5,0.013109,,
C++,Fibonacci Recursion,11349031170 Recursive Calls,45,1,6.00726,6.026944,0.02259273069
C++,Fibonacci Recursion,11349031170 Recursive Calls,45,2,6.01401,,
C++,Fibonacci Recursion,11349031170 Recursive Calls,45,3,6.01791,,
C++,Fibonacci Recursion,11349031170 Recursive Calls,45,4,6.06417,,
C++,Fibonacci Recursion,11349031170 Recursive Calls,45,5,6.03137,,
Rust,Fibonacci Recursion,11349031170 Recursive Calls,45,1,2.644239,2.5794054,0.03817481894
Rust,Fibonacci Recursion,11349031170 Recursive Calls,45,2,2.552521,,
Rust,Fibonacci Recursion,11349031170 Recursive Calls,45,3,2.561842,,
Rust,Fibonacci Recursion,11349031170 Recursive Calls,45,4,2.555305,,
Rust,Fibonacci Recursion,11349031170 Recursive Calls,45,5,2.58312,,
C++,Fibonacci Recursion,701408733 Recursive Calls,42,1,1.44869,1.424206,0.0141378156
C++,Fibonacci Recursion,701408733 Recursive Calls,42,2,1.42185,,
C++,Fibonacci Recursion,701408733 Recursive Calls,42,3,1.42112,,
C++,Fibonacci Recursion,701408733 Recursive Calls,42,4,1.41333,,
C++,Fibonacci Recursion,701408733 Recursive Calls,42,5,1.41604,,
Rust,Fibonacci Recursion,701408733 Recursive Calls,42,1,0.624514,1.815511,2.675709315
Rust,Fibonacci Recursion,701408733 Recursive Calls,42,2,0.62995,,
Rust,Fibonacci Recursion,701408733 Recursive Calls,42,3,0.602133,,
Rust,Fibonacci Recursion,701408733 Recursive Calls,42,4,0.619029,,
Rust,Fibonacci Recursion,701408733 Recursive Calls,42,5,6.601929,,
C++,Fibonacci Recursion,102334155 Recursive Calls,38,1,0.20334,0.2076682,0.002773373613
C++,Fibonacci Recursion,102334155 Recursive Calls,38,2,0.209564,,
C++,Fibonacci Recursion,102334155 Recursive Calls,38,3,0.206928,,
C++,Fibonacci Recursion,102334155 Recursive Calls,38,4,0.208059,,
C++,Fibonacci Recursion,102334155 Recursive Calls,38,5,0.21045,,
Rust,Fibonacci Recursion,102334155 Recursive Calls,38,1,0.090837,0.0940754,0.005334681743
Rust,Fibonacci Recursion,102334155 Recursive Calls,38,2,0.09094,,
Rust,Fibonacci Recursion,102334155 Recursive Calls,38,3,0.091771,,
Rust,Fibonacci Recursion,102334155 Recursive Calls,38,4,0.093387,,
Rust,Fibonacci Recursion,102334155 Recursive Calls,38,5,0.103442,,
C++,Fibonacci Recursion,24157817 Recursive Calls,35,1,0.051254,0.053474,0.002568216307
C++,Fibonacci Recursion,24157817 Recursive Calls,35,2,0.054181,,
C++,Fibonacci Recursion,24157817 Recursive Calls,35,3,0.052845,,
C++,Fibonacci Recursion,24157817 Recursive Calls,35,4,0.057567,,
C++,Fibonacci Recursion,24157817 Recursive Calls,35,5,0.051523,,
Rust,Fibonacci Recursion,24157817 Recursive Calls,35,1,0.024673,0.0259276,0.001966866874
Rust,Fibonacci Recursion,24157817 Recursive Calls,35,2,0.024159,,
Rust,Fibonacci Recursion,24157817 Recursive Calls,35,3,0.028282,,
Rust,Fibonacci Recursion,24157817 Recursive Calls,35,4,0.027844,,
Rust,Fibonacci Recursion,24157817 Recursive Calls,35,5,0.02468,,
C++,File Read,File Size - 1GB,,1,0.721888,0.7251716,0.005567793171
C++,File Read,File Size - 1GB,,2,0.726349,,
C++,File Read,File Size - 1GB,,3,0.719815,,
C++,File Read,File Size - 1GB,,4,0.723645,,
C++,File Read,File Size - 1GB,,5,0.734161,,
Rust,File Read,File Size - 1GB,,1,0.647591,0.6613582,0.01169548942
Rust,File Read,File Size - 1GB,,2,0.661416,,
Rust,File Read,File Size - 1GB,,3,0.664928,,
Rust,File Read,File Size - 1GB,,4,0.654315,,
Rust,File Read,File Size - 1GB,,5,0.678541,,
C++,File Read,File Size - 500 MB,,1,0.346519,0.3546236,0.005358901734
C++,File Read,File Size - 500 MB,,2,0.361178,,
C++,File Read,File Size - 500 MB,,3,0.355125,,
C++,File Read,File Size - 500 MB,,4,0.353501,,
C++,File Read,File Size - 500 MB,,5,0.356795,,
Rust,File Read,File Size - 500 MB,,1,0.32616,0.3380486,0.01197374082
Rust,File Read,File Size - 500 MB,,2,0.337597,,
Rust,File Read,File Size - 500 MB,,3,0.326533,,
Rust,File Read,File Size - 500 MB,,4,0.347258,,
Rust,File Read,File Size - 500 MB,,5,0.352695,,
C++,File Read,File Size - 100 MB,,1,0.111898,0.1181262,0.007050117708
C++,File Read,File Size - 100 MB,,2,0.112591,,
C++,File Read,File Size - 100 MB,,3,0.118599,,
C++,File Read,File Size - 100 MB,,4,0.118052,,
C++,File Read,File Size - 100 MB,,5,0.129491,,
Rust,File Read,File Size - 100 MB,,1,0.102922,0.1116222,0.006481233964
